PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP0000022ADM,自定义项20
1001A11LCP0000022ADN,主键
1001A11LCP0000022ADO,合同编码
1001A11LCP0000022ADP,相对方编码
1001A11LCP0000022ADQ,相对方名称
1001A11LCP0000022ADR,预计收款日期
1001A11LCP0000022ADS,预计收款金额
1001A11LCP0000022DGX,预计收款币种
1001A11LCP0000022DGY,预计收款按合同币种折算金额
1001A11LCP0000022DGZ,预计收款折算比率
1001A11LCP0000022DH0,预计收款节点描述
1001A11LCP0000022DH1,自定义项1
1001A11LCP0000022DH2,自定义项2
1001A11LCP0000022DH3,自定义项3
1001A11LCP0000022DH4,自定义项4
1001A11LCP0000022DH5,自定义项5
1001A11LCP0000022DH6,自定义项6
1001A11LCP0000022DH7,自定义项7
1001A11LCP0000022DH8,自定义项8
1001A11LCP0000022DH9,自定义项9
1001A11LCP0000022DHA,自定义项10
1001A11LCP0000022DHB,自定义项11
1001A11LCP0000022DHC,自定义项12
1001A11LCP0000022DHD,自定义项13
1001A11LCP0000022DHE,自定义项14
1001A11LCP0000022DHF,自定义项15
1001A11LCP0000022DHG,自定义项16
1001A11LCP0000022DHH,自定义项17
1001A11LCP0000022DHI,自定义项18
1001A11LCP0000022DHJ,自定义项19
1001A11LCP0000022DHK,自定义项20
1001A11LCP0000022DHL,主键
1001A11LCP0000022DHM,合同编码
1001A11LCP0000022DHN,相对方编码
1001A11LCP0000022DHO,相对方名称
1001A11LCP0000022DHP,预计收款日期
1001A11LCP0000022DHQ,预计收款金额
1001A11LCP0000022DHR,预计收款币种
1001A11LCP0000022DHS,预计收款按合同币种折算金额
1001A11LCP0000022DHT,预计收款折算比率
1001A11LCP0000022DHU,预计收款节点描述
1001A11LCP0000022DHV,自定义项1
1001A11LCP0000022DHW,自定义项2
1001A11LCP0000022DHX,自定义项3
1001A11LCP0000022DHY,自定义项4
1001A11LCP0000022DHZ,自定义项5
1001A11LCP0000022DI0,自定义项6
1001A11LCP0000022DI1,自定义项7
1001A11LCP0000022DI2,自定义项8
1001A11LCP0000022DI3,自定义项9
1001A11LCP0000022DI4,自定义项10
1001A11LCP0000022DI5,自定义项11
1001A11LCP0000022DI6,自定义项12
1001A11LCP0000022DI7,自定义项13
1001A11LCP0000022DI8,自定义项14
1001A11LCP0000022DI9,自定义项15
1001A11LCP0000022DIA,自定义项16
1001A11LCP0000022DIB,自定义项17
1001A11LCP0000022DIC,主键
1001A11LCP0000022DID,合同编码
1001A11LCP0000022DIE,计划收款行ID
1001A11LCP0000022DIF,实际收款行ID
1001A11LCP0000022DIG,相对方编码
1001A11LCP0000022DIH,相对方名称
1001A11LCP0000022DII,实际收款时间
1001A11LCP0000022DIJ,实际收款金额
1001A11LCP0000022DIK,实际收款币种
1001A11LCP0000022DIL,实际收款按合同币种折算金额
1001A11LCP0000022DIM,实际收款折算比率
1001A11LCP0000022DIN,实际收款节点描述
1001A11LCP0000022DIO,自定义项1
1001A11LCP0000022DIP,自定义项2
1001A11LCP0000022DIQ,自定义项3
1001A11LCP0000022DIR,自定义项4
1001A11LCP0000022DIS,自定义项5
1001A11LCP0000022DIT,自定义项6
1001A11LCP0000022DIU,自定义项7
1001A11LCP0000022DIV,自定义项8
1001A11LCP0000022DIW,自定义项9
1001A11LCP0000022DIX,自定义项10
1001A11LCP0000022DIY,自定义项11
1001A11LCP0000022DIZ,自定义项12
1001A11LCP0000022DJ0,自定义项13
1001A11LCP0000022DJ1,自定义项14
1001A11LCP0000022DJ2,自定义项15
1001A11LCP0000022DJ3,自定义项16
1001A11LCP0000022DJ4,自定义项17
1001A11LCP0000022DJ5,自定义项18
1001A11LCP0000022DJ6,自定义项19
1001A11LCP0000022DJ7,自定义项20
1001A11LCP0000022DJ8,主键
1001A11LCP0000022DJ9,合同编码
1001A11LCP0000022DJA,计划收款行ID
1001A11LCP0000022DJB,实际收款行ID
1001A11LCP0000022DJC,相对方编码
1001A11LCP0000022DJD,相对方名称
1001A11LCP0000022DJE,实际收款时间
1001A11LCP0000022DJF,实际收款金额
1001A11LCP0000022DJG,实际收款币种
1001A11LCP0000022DJH,实际收款按合同币种折算金额
1001A11LCP0000022DJI,实际收款折算比率
1001A11LCP0000022DJJ,实际收款节点描述
1001A11LCP0000022DJK,自定义项1
1001A11LCP0000022DJL,自定义项2
1001A11LCP0000022DJM,自定义项3
1001A11LCP0000022DJN,自定义项4
1001A11LCP0000022DJO,自定义项5
1001A11LCP0000022DJP,自定义项6
1001A11LCP0000022DJQ,自定义项7
1001A11LCP0000022DJR,自定义项8
1001A11LCP0000022DJS,自定义项9
1001A11LCP0000022DJT,自定义项10
1001A11LCP0000022DJU,自定义项11
1001A11LCP0000022DJV,自定义项12
1001A11LCP0000022DJW,自定义项13
1001A11LCP0000022DJX,自定义项14
1001A11LCP0000022DJY,自定义项15
1001A11LCP0000022DJZ,自定义项16
1001A11LCP0000022DK0,自定义项17
1001A11LCP0000022DK1,自定义项18
1001A11LCP0000022DK2,自定义项19
1001A11LCP0000022DK3,自定义项20
1001A11LCP0000022DK4,主键
1001A11LCP0000022DK5,合同编码
1001A11LCP0000022DK6,计划收款行ID
1001A11LCP0000022DK7,实际收款行ID
1001A11LCP0000022DK8,相对方编码
1001A11LCP0000022DK9,相对方名称
1001A11LCP0000022DKA,实际收款时间
1001A11LCP0000022DKB,实际收款金额
1001A11LCP0000022DKC,实际收款币种
1001A11LCP0000022DKD,实际收款按合同币种折算金额
1001A11LCP0000022DKE,实际收款折算比率
1001A11LCP0000022DKF,实际收款节点描述
1001A11LCP0000022DKG,自定义项1
1001A11LCP0000022DKH,自定义项2
1001A11LCP0000022DKI,自定义项3
1001A11LCP0000022DKJ,自定义项4
1001A11LCP0000022DKK,自定义项5
1001A11LCP0000022DKL,自定义项6
1001A11LCP0000022DKM,自定义项7
1001A11LCP0000022DKN,自定义项8
1001A11LCP0000022DKO,自定义项9
1001A11LCP0000022DKP,自定义项10
1001A11LCP0000022DKQ,自定义项11
1001A11LCP0000022DKR,自定义项12
1001A11LCP0000022DKS,自定义项13
1001A11LCP0000022DKT,自定义项14
1001A11LCP0000022DKU,自定义项15
1001A11LCP0000022DKV,自定义项16
1001A11LCP0000022DKW,自定义项17
1001A11LCP0000022DKX,自定义项18
1001A11LCP0000022DKY,自定义项19
1001A11LCP0000022DKZ,自定义项20
1001A11LCP0000022DL0,主键
1001A11LCP0000022DL1,合同编码
1001A11LCP0000022DL2,计划付款行ID
1001A11LCP0000022DL3,相对方编码
1001A11LCP0000022DL4,相对方名称
1001A11LCP0000022DL5,预计付款日期
1001A11LCP0000022DL6,预计付款金额
1001A11LCP0000022DL7,预计付款币种
1001A11LCP0000022DL8,预计收款按合同币种折算金额
1001A11LCP0000022DL9,预计付款折算比率
1001A11LCP0000022DLA,预计付款节点描述
1001A11LCP0000022DLB,自定义项1
1001A11LCP0000022DLC,自定义项2
1001A11LCP0000022DLD,自定义项3
1001A11LCP0000022DLE,自定义项4
1001A11LCP0000022DLF,自定义项5
1001A11LCP0000022DLG,自定义项6
1001A11LCP0000022DLH,自定义项7
1001A11LCP0000022DLI,自定义项8
1001A11LCP0000022DLJ,自定义项9
1001A11LCP0000022DLK,自定义项10
1001A11LCP0000022DLL,自定义项11
1001A11LCP0000022DLM,自定义项12
1001A11LCP0000022DLN,自定义项13
1001A11LCP0000022DLO,自定义项14
1001A11LCP0000022DLP,自定义项15
1001A11LCP0000022DLQ,自定义项16
1001A11LCP0000022DLR,自定义项17
1001A11LCP0000022DLS,自定义项18
1001A11LCP0000022DLT,自定义项19
1001A11LCP0000022DLU,自定义项20
1001A11LCP0000022DLV,主键
1001A11LCP0000022DLW,合同编码
1001A11LCP0000022DLX,计划付款行ID
1001A11LCP0000022DLY,相对方编码
1001A11LCP0000022DLZ,相对方名称
1001A11LCP0000022DM0,预计付款日期
1001A11LCP0000022DM1,预计付款金额
1001A11LCP0000022DM2,预计付款币种
1001A11LCP0000022DM3,预计收款按合同币种折算金额
1001A11LCP0000022DM4,预计付款折算比率
1001A11LCP0000022DM5,预计付款节点描述
1001A11LCP0000022DM6,自定义项1
1001A11LCP0000022DM7,自定义项2
1001A11LCP0000022DM8,自定义项3
1001A11LCP0000022DM9,自定义项4
1001A11LCP0000022DMA,自定义项5
1001A11LCP0000022DMB,自定义项6
1001A11LCP0000022DMC,自定义项7
1001A11LCP0000022DMD,自定义项8
1001A11LCP0000022DME,自定义项9
1001A11LCP0000022DMF,自定义项10
1001A11LCP0000022DMG,自定义项11
1001A11LCP0000022DMH,自定义项12
1001A11LCP0000022DMI,自定义项13
1001A11LCP0000022DMJ,自定义项14
1001A11LCP0000022DMK,自定义项15
1001A11LCP0000022DML,自定义项16
1001A11LCP0000022DMM,自定义项17
1001A11LCP0000022DMN,自定义项18
1001A11LCP0000022DMO,自定义项19
1001A11LCP0000022DMP,自定义项20
1001A11LCP0000022DMQ,主键
1001A11LCP0000022DMR,合同编码
1001A11LCP0000022DMS,计划付款行ID
1001A11LCP0000022DMT,相对方编码
1001A11LCP0000022DMU,相对方名称
1001A11LCP0000022DMV,预计付款日期
1001A11LCP0000022DMW,预计付款金额
1001A11LCP0000022DMX,预计付款币种
1001A11LCP0000022DMY,预计收款按合同币种折算金额
1001A11LCP0000022DMZ,预计付款折算比率
1001A11LCP0000022DN0,预计付款节点描述
1001A11LCP0000022DN1,自定义项1
1001A11LCP0000022DN2,自定义项2
1001A11LCP0000022DN3,自定义项3
1001A11LCP0000022DN4,自定义项4
1001A11LCP0000022DN5,自定义项5
1001A11LCP0000022DN6,自定义项6
1001A11LCP0000022DN7,自定义项7
1001A11LCP0000022DN8,自定义项8
1001A11LCP0000022DN9,自定义项9
1001A11LCP0000022DNA,自定义项10
1001A11LCP0000022DNB,自定义项11
1001A11LCP0000022DNC,自定义项12
1001A11LCP0000022DND,自定义项13
1001A11LCP0000022DNE,自定义项14
1001A11LCP0000022DNF,自定义项15
1001A11LCP0000022DNG,自定义项16
1001A11LCP0000022DNH,自定义项17
1001A11LCP0000022DNI,自定义项18
1001A11LCP0000022DNJ,自定义项19
1001A11LCP0000022DNK,自定义项20
1001A11LCP0000022DNL,主键
1001A11LCP0000022DNM,合同编码
1001A11LCP0000022DNN,计划付款行ID
1001A11LCP0000022DNO,实际付款行ID
1001A11LCP0000022DNP,对方编码
1001A11LCP0000022DNQ,对方名称
1001A11LCP0000022DNR,实际付款时间
1001A11LCP0000022DNS,实际付款金额
1001A11LCP0000022DNT,实际付款币种
