PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002GUCJ,自定义项19
1001A11LCP000002GUCK,自定义项20
1001A11LCP000002GUCL,合同占用项目金额
1001A11LCP000002GUCM,立项批复金额
1001A11LCP000002GUCN,项目状态
1001A11LCP000002GUCO,数据有效性
1001A11LCP000002GUCP,自定义项1
1001A11LCP000002GUCQ,自定义项2
1001A11LCP000002GUCR,自定义项3
1001A11LCP000002GUCS,自定义项4
1001A11LCP000002GUCT,自定义项5
1001A11LCP000002GUCU,自定义项6
1001A11LCP000002GUCV,自定义项7
1001A11LCP000002GUCW,自定义项8
1001A11LCP000002GUCX,自定义项9
1001A11LCP000002GUCY,自定义项10
1001A11LCP000002GUCZ,自定义项11
1001A11LCP000002GUD0,自定义项12
1001A11LCP000002GUD1,自定义项13
1001A11LCP000002GUD2,自定义项14
1001A11LCP000002GUD3,主键
1001A11LCP000002GUD4,项目编码
1001A11LCP000002GUD5,项目所属公司
1001A11LCP000002GUD6,项目分类
1001A11LCP000002GUD7,项目名称
1001A11LCP000002GUD8,自定义项15
1001A11LCP000002GUD9,自定义项16
1001A11LCP000002GUDA,自定义项17
1001A11LCP000002GUDB,自定义项18
1001A11LCP000002GUDC,自定义项19
1001A11LCP000002GUDD,自定义项20
1001A11LCP000002GUDE,合同占用项目金额
1001A11LCP000002GUDF,立项批复金额
1001A11LCP000002GUDG,项目状态
1001A11LCP000002GUDH,数据有效性
1001A11LCP000002GUDI,自定义项1
1001A11LCP000002GUDJ,自定义项2
1001A11LCP000002GUDK,自定义项3
1001A11LCP000002GUDL,自定义项4
1001A11LCP000002GUDM,自定义项5
1001A11LCP000002GUDN,自定义项6
1001A11LCP000002GUDO,自定义项7
1001A11LCP000002GUDP,自定义项8
1001A11LCP000002GUDQ,自定义项9
1001A11LCP000002GUDR,自定义项10
1001A11LCP000002GUDS,自定义项11
1001A11LCP000002GUDT,自定义项12
1001A11LCP000002GUDU,自定义项13
1001A11LCP000002GUDV,自定义项14
1001A11LCP000002GUDW,主键
1001A11LCP000002GUDX,项目编码
1001A11LCP000002GUDY,项目所属公司
1001A11LCP000002GUDZ,项目分类
1001A11LCP000002GUE0,项目名称
1001A11LCP000002GUE1,自定义项15
1001A11LCP000002GUE2,自定义项16
1001A11LCP000002GUE3,自定义项17
1001A11LCP000002GUE4,自定义项18
1001A11LCP000002GUE5,自定义项19
1001A11LCP000002GUE6,自定义项20
1001A11LCP000002GUE7,合同占用项目金额
1001A11LCP000002GUE8,立项批复金额
1001A11LCP000002GUE9,项目状态
1001A11LCP000002GUEA,数据有效性
1001A11LCP000002GUEB,自定义项1
1001A11LCP000002GUEC,自定义项2
1001A11LCP000002GUED,自定义项3
1001A11LCP000002GUEE,自定义项4
1001A11LCP000002GUEF,自定义项5
1001A11LCP000002GUEG,自定义项6
1001A11LCP000002GUEH,自定义项7
1001A11LCP000002GUEI,自定义项8
1001A11LCP000002GUEJ,自定义项9
1001A11LCP000002GUEK,自定义项10
1001A11LCP000002GUEL,自定义项11
1001A11LCP000002GUEM,自定义项12
1001A11LCP000002GUEN,自定义项13
1001A11LCP000002GUEO,自定义项14
1001A11LCP000002GUEP,主键
1001A11LCP000002GUEQ,项目编码
1001A11LCP000002GUER,项目所属公司
1001A11LCP000002GUES,项目分类
1001A11LCP000002GUET,项目名称
1001A11LCP000002GUEU,主键
1001A11LCP000002GUEV,预算流水号
1001A11LCP000002GUEW,预算所属项目编号
1001A11LCP000002GUEX,项目预算额
1001A11LCP000002GUEY,预算年度
1001A11LCP000002GUEZ,数据有效性
1001A11LCP000002GUF0,自定义项1
1001A11LCP000002GUF1,自定义项2
1001A11LCP000002GUF2,自定义项3
1001A11LCP000002GUF3,自定义项4
1001A11LCP000002GUF4,自定义项5
1001A11LCP000002GUF5,自定义项6
1001A11LCP000002GUF6,自定义项7
1001A11LCP000002GUF7,自定义项8
1001A11LCP000002GUF8,自定义项9
1001A11LCP000002GUF9,自定义项10
1001A11LCP000002GUFA,自定义项11
1001A11LCP000002GUFB,自定义项12
1001A11LCP000002GUFC,自定义项13
1001A11LCP000002GUFD,自定义项14
1001A11LCP000002GUFE,自定义项15
1001A11LCP000002GUFF,自定义项16
1001A11LCP000002GUFG,自定义项17
1001A11LCP000002GUFH,自定义项18
1001A11LCP000002GUFI,自定义项19
1001A11LCP000002GUFJ,自定义项20
1001A11LCP000002GUFK,主键
1001A11LCP000002GUFL,预算流水号
1001A11LCP000002GUFM,预算所属项目编号
1001A11LCP000002GUFN,项目预算额
1001A11LCP000002GUFO,预算年度
1001A11LCP000002GUFP,数据有效性
1001A11LCP000002GUFQ,自定义项1
1001A11LCP000002GUFR,自定义项2
1001A11LCP000002GUFS,自定义项3
1001A11LCP000002GUFT,自定义项4
1001A11LCP000002GUFU,自定义项5
1001A11LCP000002GUFV,自定义项6
1001A11LCP000002GUFW,自定义项7
1001A11LCP000002GUFX,自定义项8
1001A11LCP000002GUFY,自定义项9
1001A11LCP000002GUFZ,自定义项10
1001A11LCP000002GUG0,自定义项11
1001A11LCP000002GUG1,自定义项12
1001A11LCP000002GUG2,自定义项13
1001A11LCP000002GUG3,自定义项14
1001A11LCP000002GUG4,自定义项15
1001A11LCP000002GUG5,自定义项16
1001A11LCP000002GUG6,自定义项17
1001A11LCP000002GUG7,自定义项18
1001A11LCP000002GUG8,自定义项19
1001A11LCP000002GUG9,自定义项20
1001A11LCP000002GUGA,主键
1001A11LCP000002GUGB,预算流水号
1001A11LCP000002GUGC,预算所属项目编号
1001A11LCP000002GUGD,项目预算额
1001A11LCP000002GUGE,预算年度
1001A11LCP000002GUGF,数据有效性
1001A11LCP000002GUGG,自定义项1
1001A11LCP000002GUGH,自定义项2
1001A11LCP000002GUGI,自定义项3
1001A11LCP000002GUGJ,自定义项4
1001A11LCP000002GUGK,自定义项5
1001A11LCP000002GUGL,自定义项6
1001A11LCP000002GUGM,自定义项7
1001A11LCP000002GUGN,自定义项8
1001A11LCP000002GUGO,自定义项9
1001A11LCP000002GUGP,自定义项10
1001A11LCP000002GUGQ,自定义项11
1001A11LCP000002GUGR,自定义项12
1001A11LCP000002GUGS,自定义项13
1001A11LCP000002GUGT,自定义项14
1001A11LCP000002GUGU,自定义项15
1001A11LCP000002GUGV,自定义项16
1001A11LCP000002GUGW,自定义项17
1001A11LCP000002GUGX,自定义项18
1001A11LCP000002GUGY,自定义项19
1001A11LCP000002GUGZ,自定义项20
1001A11LCP000002GUH0,主键
1001A11LCP000002GUH1,预计收款行id
1001A11LCP000002GUH2,预计收款日期
1001A11LCP000002GUH3,预计收款日期（传）
1001A11LCP000002GUH4,预计收款金额
1001A11LCP000002GUH5,预计收款币种
1001A11LCP000002GUH6,预计收款按合同币种折算金额
1001A11LCP000002GUH7,预计收款折算比率
1001A11LCP000002GUH8,预计收款节点描述
1001A11LCP000002GUH9,数据有效性
1001A11LCP000002GUHA,自定义项1
1001A11LCP000002GUHB,自定义项2
1001A11LCP000002GUHC,自定义项3
1001A11LCP000002GUHD,自定义项4
1001A11LCP000002GUHE,自定义项5
1001A11LCP000002GUHF,自定义项6
1001A11LCP000002GUHG,自定义项7
1001A11LCP000002GUHH,自定义项8
1001A11LCP000002GUHI,自定义项9
1001A11LCP000002GUHJ,自定义项10
1001A11LCP000002GUHK,自定义项11
1001A11LCP000002GUHL,自定义项12
1001A11LCP000002GUHM,自定义项13
1001A11LCP000002GUHN,自定义项14
1001A11LCP000002GUHO,自定义项15
1001A11LCP000002GUHP,自定义项16
1001A11LCP000002GUHQ,自定义项17
1001A11LCP000002GUHR,自定义项18
1001A11LCP000002GUHS,自定义项19
1001A11LCP000002GUHT,自定义项20
1001A11LCP000002GUHU,主键
1001A11LCP000002GUHV,预计收款行id
1001A11LCP000002GUHW,预计收款日期
1001A11LCP000002GUHX,预计收款日期（传）
1001A11LCP000002GUHY,预计收款金额
1001A11LCP000002GUHZ,预计收款币种
1001A11LCP000002GUI0,预计收款按合同币种折算金额
1001A11LCP000002GUI1,预计收款折算比率
1001A11LCP000002GUI2,预计收款节点描述
1001A11LCP000002GUI3,数据有效性
1001A11LCP000002GUI4,自定义项1
1001A11LCP000002GUI5,自定义项2
1001A11LCP000002GUI6,自定义项3
1001A11LCP000002GUI7,自定义项4
1001A11LCP000002GUI8,自定义项5
1001A11LCP000002GUI9,自定义项6
1001A11LCP000002GUIA,自定义项7
1001A11LCP000002GUIB,自定义项8
1001A11LCP000002GUIC,自定义项9
1001A11LCP000002GUID,自定义项10
1001A11LCP000002GUIE,自定义项11
1001A11LCP000002GUIF,自定义项12
1001A11LCP000002GUIG,自定义项13
1001A11LCP000002GUIH,自定义项14
1001A11LCP000002GUII,自定义项15
1001A11LCP000002GUIJ,自定义项16
1001A11LCP000002GUIK,自定义项17
1001A11LCP000002GUIL,自定义项18
1001A11LCP000002GUIM,自定义项19
1001A11LCP000002GUIN,自定义项20
1001A11LCP000002GUIO,主键
1001A11LCP000002GUIP,预计收款行id
1001A11LCP000002GUIQ,预计收款日期
1001A11LCP000002GUIR,预计收款日期（传）
1001A11LCP000002GUIS,预计收款金额
1001A11LCP000002GUIT,预计收款币种
1001A11LCP000002GUIU,预计收款按合同币种折算金额
1001A11LCP000002GUIV,预计收款折算比率
1001A11LCP000002GUIW,预计收款节点描述
1001A11LCP000002GUIX,数据有效性
1001A11LCP000002GUIY,自定义项1
1001A11LCP000002GUIZ,自定义项2
1001A11LCP000002GUJ0,自定义项3
1001A11LCP000002GUJ1,自定义项4
1001A11LCP000002GUJ2,自定义项5
1001A11LCP000002GUJ3,自定义项6
1001A11LCP000002GUJ4,自定义项7
1001A11LCP000002GUJ5,自定义项8
1001A11LCP000002GUJ6,自定义项9
1001A11LCP000002GUJ7,自定义项10
1001A11LCP000002GUJ8,自定义项11
1001A11LCP000002GUJ9,自定义项12
1001A11LCP000002GUJA,自定义项13
1001A11LCP000002GUJB,自定义项14
1001A11LCP000002GUJC,自定义项15
1001A11LCP000002GUJD,自定义项16
1001A11LCP000002GUJE,自定义项17
1001A11LCP000002GUJF,自定义项18
1001A11LCP000002GUJG,自定义项19
1001A11LCP000002GUJH,自定义项20
1001A11LCP000002GUJI,主键
1001A11LCP000002GUJJ,计划收款行ID
1001A11LCP000002GUJK,实际收款行ID
1001A11LCP000002GUJL,实际收款时间
1001A11LCP000002GUJM,实际收款时间（传）
1001A11LCP000002GUJN,实际收款金额
1001A11LCP000002GUJO,实际收款币种
1001A11LCP000002GUJP,实际收款按合同币种折算金额
1001A11LCP000002GUJQ,实际收款折算比率
1001A11LCP000002GUJR,实际收款节点描述
1001A11LCP000002GUJS,数据有效性
1001A11LCP000002GUJT,自定义项1
1001A11LCP000002GUJU,自定义项2
1001A11LCP000002GUJV,自定义项3
1001A11LCP000002GUJW,自定义项4
1001A11LCP000002GUJX,自定义项5
1001A11LCP000002GUJY,自定义项6
